Category,Command,File,Status,Has Code,Compilable,Executable,Production Ready,Severity,Notes
Query Optimization,optimize <query>,commands/optimize.ts,PARTIAL,Yes,No,No,No,HIGH,Registered but build fails
Query Optimization,slow-queries,commands/slow-queries.ts,PARTIAL,Yes,No,No,No,HIGH,Registered but build fails
Query Optimization,indexes recommend,commands/indexes.ts,PARTIAL,Yes,No,No,No,HIGH,Registered but build fails
Query Optimization,indexes apply,commands/indexes.ts,PARTIAL,Yes,No,No,No,HIGH,Registered but build fails
Query Optimization,indexes list,commands/indexes.ts,PARTIAL,Yes,No,No,No,HIGH,Registered but build fails
Query Optimization,indexes rebuild,commands/indexes.ts,PARTIAL,Yes,No,No,No,HIGH,Registered but build fails
Query Optimization,risk-check <query>,commands/risk-check.ts,PARTIAL,Yes,No,No,No,HIGH,Registered but build fails
Query Optimization,analyze-query,optimization-cli.ts,PLACEHOLDER,Partial,No,No,No,HIGH,Class method exists but no CLI registration
Query Optimization,detect-patterns,optimization-cli.ts,PLACEHOLDER,Partial,No,No,No,HIGH,Class method exists but no CLI registration
Query Optimization,analyze-workload,optimization-cli.ts,PLACEHOLDER,Partial,No,No,No,HIGH,Class method exists but no CLI registration
Query Optimization,detect-bottlenecks,optimization-cli.ts,PLACEHOLDER,Partial,No,No,No,HIGH,Class method exists but no CLI registration
Query Optimization,auto-optimize enable,optimization-cli.ts,PLACEHOLDER,Partial,No,No,No,HIGH,Class method exists but no CLI registration
Query Optimization,auto-optimize disable,optimization-cli.ts,PLACEHOLDER,Partial,No,No,No,HIGH,Class method exists but no CLI registration
Query Optimization,auto-optimize status,optimization-cli.ts,PLACEHOLDER,Partial,No,No,No,HIGH,Class method exists but no CLI registration
MySQL,mysql connect,mysql-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Complete MySQLCLI class with 9 command registrations
MySQL,mysql disconnect,mysql-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Registered with full implementation
MySQL,mysql query,mysql-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Registered with multiple output formats
MySQL,mysql status,mysql-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Registered with connection info
MySQL,mysql tables,mysql-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Registered with schema listing
MySQL,mysql describe,mysql-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Registered with table structure
MySQL,mysql import,mysql-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Registered with SQL/CSV/JSON support
MySQL,mysql export,mysql-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Registered with multiple formats
MongoDB,mongo connect,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,11 command registrations via MongoDBCLI
MongoDB,mongo disconnect,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Complete implementation
MongoDB,mongo query,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Find operations with filter/projection
MongoDB,mongo aggregate,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Aggregation pipeline support
MongoDB,mongo insert,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Document insertion
MongoDB,mongo update,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Document updates
MongoDB,mongo delete,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Document deletion
MongoDB,mongo collections,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,List all collections
MongoDB,mongo indexes,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Index management
MongoDB,mongo export,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,JSON/CSV export
MongoDB,mongo import,mongodb-commands.ts,PARTIAL,Yes,No,No,No,HIGH,JSON/CSV import with options
Redis,redis connect,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,12 registrations via comprehensive RedisCLI
Redis,redis disconnect,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Connection management
Redis,redis get,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Key retrieval with type detection
Redis,redis set,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Key-value setting with TTL
Redis,redis delete,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Key deletion
Redis,redis keys,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Pattern-based key listing
Redis,redis info,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Server information
Redis,redis flush,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Database flushing
Redis,redis ttl,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,TTL management
Redis,redis expire,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Key expiration setting
Redis,redis monitor,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Real-time monitoring
Redis,redis pipeline,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,Pipelined operations
Redis,redis transaction,redis-commands.ts,PARTIAL,Yes,No,No,No,HIGH,MULTI/EXEC transactions
PostgreSQL Advanced,postgres vacuum,postgres-advanced-commands.ts,PLACEHOLDER,Partial,No,No,No,CRITICAL,Builder class only - no CLI registration
